,arch_name,arch,config,Num_conv,Num_denses,Num_pooling,Num_normalization,Num_droputs,KW,Filters,drop_ratio,num_simulation,folder,metric_presets,tags,accuracy,precision,recall,f1_score,roc_auc
34,architecture_3conv_3dense_18,"['C', 'C', 'C', 'N', 'P', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config1,3,3,1,1,3,50_cte,16_cte,0.5_cte,sim_6,fold_5,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_Parcial', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
35,architecture_3conv_3dense_18,"['C', 'C', 'C', 'N', 'P', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config2,3,3,1,1,3,5_cte,16_cte,0.5_cte,sim_8,fold_5,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_Parcial', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
36,architecture_3conv_3dense_19,"['C', 'N', 'C', 'N', 'C', 'N', 'P', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config1,3,3,1,3,3,50_cte,16_cte,0.5_cte,sim_5,fold_1,['ClassificationPreset'],"['N_Full', 'P_Full', 'D_Parcial', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
37,architecture_3conv_3dense_19,"['C', 'N', 'C', 'N', 'C', 'N', 'P', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config2,3,3,1,3,3,5_cte,16_cte,0.5_cte,sim_8,fold_1,['ClassificationPreset'],"['N_Full', 'P_Full', 'D_Parcial', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
38,architecture_3conv_3dense_20,"['C', 'C', 'N', 'C', 'P', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config1,3,3,1,1,3,50_cte,16_cte,0.5_cte,sim_6,fold_5,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_Parcial', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
39,architecture_3conv_3dense_20,"['C', 'C', 'N', 'C', 'P', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config2,3,3,1,1,3,5_cte,16_cte,0.5_cte,sim_9,fold_1,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_Parcial', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
40,architecture_3conv_3dense_21,"['C', 'C', 'C', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config1,3,3,0,0,3,50_cte,16_cte,0.5_cte,sim_1,fold_4,['ClassificationPreset'],"['N_None', 'P_None', 'D_Parcial', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
41,architecture_3conv_3dense_21,"['C', 'C', 'C', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config2,3,3,0,0,3,5_cte,16_cte,0.5_cte,sim_3,fold_5,['ClassificationPreset'],"['N_None', 'P_None', 'D_Parcial', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
42,architecture_3conv_3dense_22,"['C', 'C', 'C', 'N', 'P', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config1,3,3,1,1,3,50_cte,16_cte,0.5_cte,sim_4,fold_2,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_Parcial', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
43,architecture_3conv_3dense_22,"['C', 'C', 'C', 'N', 'P', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config2,3,3,1,1,3,5_cte,16_cte,0.5_cte,sim_7,fold_4,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_Parcial', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
44,architecture_3conv_3dense_23,"['C', 'N', 'P', 'C', 'N', 'P', 'C', 'N', 'P', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config1,3,3,3,3,3,50_cte,16_cte,0.5_cte,sim_1,fold_4,['ClassificationPreset'],"['N_Full', 'P_Full', 'D_Parcial', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
45,architecture_3conv_3dense_23,"['C', 'N', 'P', 'C', 'N', 'P', 'C', 'N', 'P', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config2,3,3,3,3,3,5_cte,16_cte,0.5_cte,sim_2,fold_3,['ClassificationPreset'],"['N_Full', 'P_Full', 'D_Parcial', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
46,architecture_3conv_3dense_24,"['C', 'C', 'N', 'P', 'C', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config1,3,3,1,1,3,50_cte,16_cte,0.5_cte,sim_2,fold_3,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_Parcial', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
47,architecture_3conv_3dense_24,"['C', 'C', 'N', 'P', 'C', 'flatten', 'F', 'D', 'F', 'D', 'F', 'D', '2048', '1025', '2']",config2,3,3,1,1,3,5_cte,16_cte,0.5_cte,sim_1,fold_3,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_Parcial', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
48,architecture_3conv_3dense_25,"['C', 'C', 'C', 'flatten', 'F', 'F', 'F', 'D', '2048', '1025', '2']",config1,3,3,0,0,1,50_cte,16_cte,0.5_cte,sim_5,fold_1,['ClassificationPreset'],"['N_None', 'P_None', 'D_Full', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
49,architecture_3conv_3dense_25,"['C', 'C', 'C', 'flatten', 'F', 'F', 'F', 'D', '2048', '1025', '2']",config2,3,3,0,0,1,5_cte,16_cte,0.5_cte,sim_8,fold_1,['ClassificationPreset'],"['N_None', 'P_None', 'D_Full', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
50,architecture_3conv_3dense_26,"['C', 'C', 'C', 'N', 'flatten', 'F', 'F', 'F', 'D', '2048', '1025', '2']",config1,3,3,0,1,1,50_cte,16_cte,0.5_cte,sim_4,fold_2,['ClassificationPreset'],"['N_Parcial', 'P_None', 'D_Full', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
51,architecture_3conv_3dense_26,"['C', 'C', 'C', 'N', 'flatten', 'F', 'F', 'F', 'D', '2048', '1025', '2']",config2,3,3,0,1,1,5_cte,16_cte,0.5_cte,sim_4,fold_2,['ClassificationPreset'],"['N_Parcial', 'P_None', 'D_Full', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
52,architecture_3conv_3dense_27,"['C', 'N', 'C', 'N', 'C', 'N', 'flatten', 'F', 'F', 'F', 'D', '2048', '1025', '2']",config1,3,3,0,3,1,50_cte,16_cte,0.5_cte,sim_1,fold_4,['ClassificationPreset'],"['N_Full', 'P_None', 'D_Full', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
53,architecture_3conv_3dense_27,"['C', 'N', 'C', 'N', 'C', 'N', 'flatten', 'F', 'F', 'F', 'D', '2048', '1025', '2']",config2,3,3,0,3,1,5_cte,16_cte,0.5_cte,sim_9,fold_1,['ClassificationPreset'],"['N_Full', 'P_None', 'D_Full', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
54,architecture_3conv_3dense_28,"['C', 'C', 'N', 'C', 'flatten', 'F', 'F', 'F', 'D', '2048', '1025', '2']",config1,3,3,0,1,1,50_cte,16_cte,0.5_cte,sim_1,fold_4,['ClassificationPreset'],"['N_Parcial', 'P_None', 'D_Full', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
55,architecture_3conv_3dense_28,"['C', 'C', 'N', 'C', 'flatten', 'F', 'F', 'F', 'D', '2048', '1025', '2']",config2,3,3,0,1,1,5_cte,16_cte,0.5_cte,sim_1,fold_4,['ClassificationPreset'],"['N_Parcial', 'P_None', 'D_Full', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
56,architecture_3conv_3dense_29,"['C', 'C', 'C', 'P', 'flatten', 'F', 'F', 'F', 'D', '2048', '1025', '2']",config1,3,3,1,0,1,50_cte,16_cte,0.5_cte,sim_1,fold_1,['ClassificationPreset'],"['N_None', 'P_Full', 'D_Full', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
57,architecture_3conv_3dense_29,"['C', 'C', 'C', 'P', 'flatten', 'F', 'F', 'F', 'D', '2048', '1025', '2']",config2,3,3,1,0,1,5_cte,16_cte,0.5_cte,sim_1,fold_1,['ClassificationPreset'],"['N_None', 'P_Full', 'D_Full', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
58,architecture_3conv_3dense_30,"['C', 'C', 'C', 'N', 'P', 'flatten', 'F', 'F', 'F', 'D', '2048', '1025', '2']",config1,3,3,1,1,1,50_cte,16_cte,0.5_cte,sim_3,fold_1,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_Full', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
59,architecture_3conv_3dense_30,"['C', 'C', 'C', 'N', 'P', 'flatten', 'F', 'F', 'F', 'D', '2048', '1025', '2']",config2,3,3,1,1,1,5_cte,16_cte,0.5_cte,sim_2,fold_5,['ClassificationPreset'],"['N_Parcial', 'P_Full', 'D_Full', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
60,architecture_3conv_3dense_31,"['C', 'N', 'C', 'N', 'C', 'N', 'P', 'flatten', 'F', 'F', 'F', 'D', '2048', '1025', '2']",config1,3,3,1,3,1,50_cte,16_cte,0.5_cte,sim_8,fold_3,['ClassificationPreset'],"['N_Full', 'P_Full', 'D_Full', 'KW#50_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
61,architecture_3conv_3dense_31,"['C', 'N', 'C', 'N', 'C', 'N', 'P', 'flatten', 'F', 'F', 'F', 'D', '2048', '1025', '2']",config2,3,3,1,3,1,5_cte,16_cte,0.5_cte,sim_6,fold_1,['ClassificationPreset'],"['N_Full', 'P_Full', 'D_Full', 'KW#5_cte', 'F#16_cte', 'RD#0.5_cte']",0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.46555555555555556
